experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
basic_03_NaiveBayes;0;valid;;;0.5086;0.5043373007867662;1.0;0.670510929328148
basic_03_NaiveBayes;0;test;;;0.51144;0.9996;0.5057885362694301;0.6717019675303731
basic_03_NaiveBayes;1;valid;;;0.7628;0.6787268770402611;0.998;0.8079663212435233
basic_03_NaiveBayes;1;test;;;0.53364;0.9988;0.5174271623357786;0.681700292118267
basic_03_NaiveBayes;2;valid;;;0.997;1.0;0.994;0.9969909729187563
basic_03_NaiveBayes;2;test;;;0.58548;0.99608;0.5469360860970789;0.7061392315326811
basic_03_NaiveBayes;3;valid;;;0.9948;0.9987903225806452;0.9908;0.9947791164658635
basic_03_NaiveBayes;3;test;;;0.5854;0.9968;0.5468509984639017;0.7062491143545416
basic_03_NaiveBayes;4;valid;;;0.9984;1.0;0.9968;0.998397435897436
basic_03_NaiveBayes;4;test;;;0.58552;0.99656;0.5469353705655076;0.7062592130627054
