experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
composite_02_NaiveBayes;0;valid;;;0.505;0.5025125628140703;1.0;0.6688963210702341
composite_02_NaiveBayes;0;test;;;0.50664;0.99984;0.5033427305678615;0.6695954995981784
composite_02_NaiveBayes;1;valid;;;0.9944;0.9940047961630696;0.9948;0.9944022391043583
composite_02_NaiveBayes;1;test;;;0.5698;0.99656;0.5376580776036946;0.6984776696851608
composite_02_NaiveBayes;2;valid;;;0.9932;0.9932;0.9932;0.9932
composite_02_NaiveBayes;2;test;;;0.5736;0.99608;0.539892463793253;0.7002418311681008
composite_02_NaiveBayes;3;valid;;;0.995;0.9944067119456652;0.9956;0.9950029982010794
composite_02_NaiveBayes;3;test;;;0.572;0.99688;0.5389239685148344;0.6996238279714783
composite_02_NaiveBayes;4;valid;;;0.9956;0.9959967974379503;0.9952;0.9955982392957183
composite_02_NaiveBayes;4;test;;;0.57372;0.99688;0.5399280731400841;0.7004693780038787
