experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
similar_01_NaiveBayes;0;valid;;;0.7676;0.6830870279146142;0.9984;0.8111797205069874
similar_01_NaiveBayes;0;test;;;0.51856;0.99936;0.5094616639477977;0.6748784440842787
similar_01_NaiveBayes;1;valid;;;0.995;0.9944067119456652;0.9956;0.9950029982010794
similar_01_NaiveBayes;1;test;;;0.55188;0.99832;0.5274079709226153;0.690191089848179
similar_01_NaiveBayes;2;valid;;;0.9972;0.9956140350877193;0.9988;0.9972044728434505
similar_01_NaiveBayes;2;test;;;0.55308;0.99808;0.528084656084656;0.690712802768166
similar_01_NaiveBayes;3;valid;;;0.9946;0.9916500994035785;0.9976;0.994616151545364
similar_01_NaiveBayes;3;test;;;0.55316;0.99832;0.5281222226924542;0.6908024025021452
similar_01_NaiveBayes;4;valid;;;0.9966;0.9948186528497409;0.9984;0.9966061090037932
similar_01_NaiveBayes;4;test;;;0.55312;0.99816;0.528104630491831;0.6907490450091346
