experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
composite_unbalanced_01_RandomForest;0;valid;;;0.7502;0.6694662693037118;0.9884;0.7982555322241965
composite_unbalanced_01_RandomForest;0;test;;;0.51308;0.98728;0.5067132005748306;0.6697056030389364
composite_unbalanced_01_RandomForest;1;valid;;;0.9896;0.9995918367346939;0.9796;0.9894949494949495
composite_unbalanced_01_RandomForest;1;test;;;0.52876;0.98456;0.5150449884913162;0.6763016897925539
composite_unbalanced_01_RandomForest;2;valid;;;0.995;0.9995962858296327;0.9904;0.994976893711071
composite_unbalanced_01_RandomForest;2;test;;;0.53084;0.9852;0.5161574248711178;0.6774113699496686
composite_unbalanced_01_RandomForest;3;valid;;;0.9936;0.9991909385113269;0.988;0.9935639581657281
composite_unbalanced_01_RandomForest;3;test;;;0.53036;0.98424;0.5159139514404327;0.6769747159325391
composite_unbalanced_01_RandomForest;4;valid;;;0.9924;0.9991889699918897;0.9856;0.9923479661699558
composite_unbalanced_01_RandomForest;4;test;;;0.5302;0.9852;0.5158115183246074;0.6771134020618558
