experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
composite_unbalanced_02_BERT;0;train;0.0;0.541771185380686;0.947;0.9333074835207444;0.9628;0.9478243748769443
composite_unbalanced_02_BERT;0;validate;0.0;0.08441326092518867;0.9688;0.9553224553224553;0.9836;0.969255025620812
composite_unbalanced_02_BERT;0;train;1.0;0.24575464056157506;0.9777;0.9754179936305732;0.9801;0.977753391859537
composite_unbalanced_02_BERT;0;validate;1.0;0.08825311110708862;0.967;0.9679358717434869;0.966;0.9669669669669669
composite_unbalanced_02_BERT;0;train;2.0;0.12926946048742394;0.9889;0.9872433725333865;0.9906;0.9889188379754419
composite_unbalanced_02_BERT;0;validate;2.0;0.11411998359286227;0.965;0.9593046226787831;0.9712;0.9652156628900814
composite_unbalanced_02_BERT;0;train;3.0;0.08915250022397377;0.99265;0.9920103864975531;0.9933;0.9926547743966421
composite_unbalanced_02_BERT;0;validate;3.0;0.11040459085872863;0.966;0.970137207425343;0.9616;0.9658497388509442
composite_unbalanced_02_BERT;0;test;;1.629012522252649;0.903;0.8619673780268736;0.95968;0.9082030510656017
composite_unbalanced_02_BERT;1;train;0.0;0.5424376183457673;0.9485;0.9326644800308701;0.9668;0.9494255131100854
composite_unbalanced_02_BERT;1;validate;0.0;0.09738776670000517;0.9618;0.9459250675936655;0.9796;0.9624680683827863
composite_unbalanced_02_BERT;1;train;1.0;0.2540166536742821;0.97735;0.9737965260545905;0.9811;0.9774346201743461
composite_unbalanced_02_BERT;1;validate;1.0;0.09106298840753733;0.9634;0.9699797160243407;0.9564;0.9631419939577038
composite_unbalanced_02_BERT;1;train;2.0;0.1207349408860202;0.9899;0.9885321100917431;0.9913;0.9899141202316756
composite_unbalanced_02_BERT;1;validate;2.0;0.13996815726128406;0.9598;0.9674664497763319;0.9516;0.9594676346037507
composite_unbalanced_02_BERT;1;train;3.0;0.0915134715079912;0.99205;0.9912149346111611;0.9929;0.9920567517610032
composite_unbalanced_02_BERT;1;validate;3.0;0.13376383076561615;0.968;0.9635499207606973;0.9728;0.9681528662420382
composite_unbalanced_02_BERT;1;test;;2.4700500120185085;0.8874;0.8286392941974889;0.9768;0.8966403524876079
composite_unbalanced_02_BERT;2;train;0.0;0.5284709528094158;0.94875;0.9373355423448007;0.9618;0.9494101969300627
composite_unbalanced_02_BERT;2;validate;0.0;0.10081118321232498;0.9624;0.9587301587301588;0.9664;0.9625498007968127
composite_unbalanced_02_BERT;2;train;1.0;0.252335376566858;0.9773;0.9746420047732697;0.9801;0.977363382528919
composite_unbalanced_02_BERT;2;validate;1.0;0.11132787298434414;0.9616;0.9445300462249615;0.9808;0.9623233908948194
composite_unbalanced_02_BERT;2;train;2.0;0.11847709724552696;0.9907;0.9892323030907278;0.9922;0.9907139291063404
composite_unbalanced_02_BERT;2;validate;2.0;0.15129805309582153;0.9616;0.9550473186119873;0.9688;0.9618745035742653
composite_unbalanced_02_BERT;2;train;3.0;0.09013036513965345;0.99245;0.991516119373191;0.9934;0.9924571656925919
composite_unbalanced_02_BERT;2;validate;3.0;0.21487451814985253;0.9574;0.9349562571319894;0.9832;0.9584714369272763
composite_unbalanced_02_BERT;2;test;;3.7285306699301115;0.85148;0.7771050141911069;0.98568;0.8690530770587197
composite_unbalanced_02_BERT;3;train;0.0;0.5261870627133176;0.94865;0.9385201837552536;0.9602;0.9492363204982452
composite_unbalanced_02_BERT;3;validate;0.0;0.14342416078033857;0.95;0.9129955947136564;0.9948;0.9521439509954059
composite_unbalanced_02_BERT;3;train;1.0;0.23967648348209913;0.97895;0.9768043802887009;0.9812;0.9789972561736093
composite_unbalanced_02_BERT;3;validate;1.0;0.1069469885660801;0.9654;0.952195880295375;0.98;0.9658978907944018
composite_unbalanced_02_BERT;3;train;2.0;0.12861499298083362;0.98935;0.9873518573847226;0.9914;0.9893717878349383
composite_unbalanced_02_BERT;3;validate;2.0;0.12909704047815176;0.966;0.9623015873015873;0.97;0.9661354581673307
composite_unbalanced_02_BERT;3;train;3.0;0.08307499875162029;0.9928;0.9921110445376473;0.9935;0.9928050364744679
composite_unbalanced_02_BERT;3;validate;3.0;0.1621091960687365;0.9646;0.9535337758688013;0.9768;0.965026674570243
composite_unbalanced_02_BERT;3;test;;2.8368405431455814;0.88432;0.8235016835016835;0.97832;0.8942595978062157
composite_unbalanced_02_BERT;4;train;0.0;0.5338401099163108;0.9486;0.9391151135473766;0.9594;0.9491491887613772
composite_unbalanced_02_BERT;4;validate;0.0;0.0952205938144587;0.9664;0.9488067744418783;0.986;0.9670459003530797
composite_unbalanced_02_BERT;4;train;1.0;0.24192317405245267;0.97905;0.9757672062766908;0.9825;0.9791220289999502
composite_unbalanced_02_BERT;4;validate;1.0;0.10183842140254565;0.9642;0.9524366471734893;0.9772;0.9646594274432378
composite_unbalanced_02_BERT;4;train;2.0;0.11210939721245668;0.99035;0.9894201018065675;0.9913;0.9903591587991407
composite_unbalanced_02_BERT;4;validate;2.0;0.13006873507931596;0.9656;0.9693548387096774;0.9616;0.9654618473895581
composite_unbalanced_02_BERT;4;train;3.0;0.07423589145118022;0.9941;0.9933107028753994;0.9949;0.9941047162270185
composite_unbalanced_02_BERT;4;validate;3.0;0.1382392258796259;0.9592;0.9763485477178423;0.9412;0.9584521384928717
composite_unbalanced_02_BERT;4;test;;1.4827166306338506;0.91524;0.8897064344169983;0.948;0.9179286571904411
