experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
basic_01_NaiveBayes;0;valid;;;0.7502;0.6668444918644972;1.0;0.8001280204832772
basic_01_NaiveBayes;0;test;;;0.50188;1.0;0.5009417705285938;0.6675032707660268
basic_01_NaiveBayes;1;valid;;;0.9992;0.9988009592326139;0.9996;0.9992003198720513
basic_01_NaiveBayes;1;test;;;0.511;0.9996;0.505563423022456;0.6715034260378879
basic_01_NaiveBayes;2;valid;;;0.999;0.9984019176987615;0.9996;0.9990005996402159
basic_01_NaiveBayes;2;test;;;0.51124;0.9996;0.5056861872192319;0.6716117068451182
basic_01_NaiveBayes;3;valid;;;0.9996;0.9992006394884093;1.0;0.9996001599360256
basic_01_NaiveBayes;3;test;;;0.51144;0.9996;0.5057885362694301;0.6717019675303731
basic_01_NaiveBayes;4;valid;;;0.9998;0.9996001599360256;1.0;0.9998000399920016
basic_01_NaiveBayes;4;test;;;0.51156;0.9996;0.5058499655884378;0.6717561355877532
