experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
basic_01_BERT;0;train;0.0;0.3549123820235487;0.96815;0.9554431364918766;0.9821;0.9685881946841559
basic_01_BERT;0;validate;0.0;0.08892154474070994;0.9698;0.9760843129306851;0.9632;0.9695993557479363
basic_01_BERT;0;train;1.0;0.17596656313160203;0.9846;0.9806585994842293;0.9887;0.9846628821830495
basic_01_BERT;0;validate;1.0;0.08697300608977676;0.9738;0.9785858585858586;0.9688;0.9736683417085427
basic_01_BERT;0;train;2.0;0.08684209597157315;0.99285;0.9917190461937544;0.994;0.9928582130549868
basic_01_BERT;0;validate;2.0;0.12310666381360498;0.9744;0.9611197511664075;0.9888;0.974763406940063
basic_01_BERT;0;train;3.0;0.06989352916772477;0.9943;0.993313373253493;0.9953;0.9943056943056943
basic_01_BERT;0;validate;3.0;0.08887452387248632;0.9758;0.9641045649629341;0.9884;0.9761011258147343
basic_01_BERT;0;test;;3.316196263138484;0.80592;0.7234166861416219;0.99056;0.8361696380334954
basic_01_BERT;1;train;0.0;0.3760142601377331;0.966;0.9503285659064553;0.9834;0.9665814822095538
basic_01_BERT;1;validate;0.0;0.07715283101603855;0.9692;0.9891576313594662;0.9488;0.9685585953450389
basic_01_BERT;1;train;1.0;0.1754494891533861;0.98495;0.9816267752507697;0.9884;0.9850017439832577
basic_01_BERT;1;validate;1.0;0.06663951931704068;0.9778;0.9841913254965545;0.9712;0.9776525065431849
basic_01_BERT;1;train;2.0;0.0880375523602881;0.99305;0.9920167647939327;0.9941;0.9930572898456621
basic_01_BERT;1;validate;2.0;0.07680514165838831;0.9784;0.9761146496815286;0.9808;0.9784517158818834
basic_01_BERT;1;train;3.0;0.06081983342063031;0.99465;0.993514915693904;0.9958;0.9946561454327524
basic_01_BERT;1;validate;3.0;0.09429069077267777;0.9746;0.9817295980511571;0.9672;0.9744106387265766
basic_01_BERT;1;test;;2.599642822515662;0.877;0.8176181168699872;0.97048;0.8875150894392215
basic_01_BERT;2;train;0.0;0.3821577243706211;0.96565;0.9509053936283529;0.982;0.9662025876912481
basic_01_BERT;2;validate;0.0;0.06769842771999537;0.9748;0.963671875;0.9868;0.975098814229249
basic_01_BERT;2;train;1.0;0.18815566368899309;0.9832;0.9791749305831019;0.9874;0.9832702648874726
basic_01_BERT;2;validate;1.0;0.11580548225064995;0.967;0.982637453493179;0.9508;0.9664565968692823
basic_01_BERT;2;train;2.0;0.1007800265742524;0.99185;0.9893542931051637;0.9944;0.9918707296394195
basic_01_BERT;2;validate;2.0;0.10602381813041865;0.9754;0.9662612789329149;0.9852;0.9756387403446227
basic_01_BERT;2;train;3.0;0.059946917221939656;0.9954;0.9942138866719872;0.9966;0.9954055133839393
basic_01_BERT;2;validate;3.0;0.09633039928552461;0.9734;0.967601738443303;0.9796;0.9735639037964618
basic_01_BERT;2;test;;3.09001136664073;0.8528;0.779467680608365;0.984;0.8698727015558698
basic_01_BERT;3;train;0.0;0.3860364627237897;0.9656;0.9528301886792453;0.9797;0.9660782960260329
basic_01_BERT;3;validate;0.0;0.07253267087899148;0.9734;0.9522353840275124;0.9968;0.9740082079343365
basic_01_BERT;3;train;1.0;0.18094142981768235;0.98445;0.9804621640384806;0.9886;0.9845142657969427
basic_01_BERT;3;validate;1.0;0.0762746188223653;0.977;0.9606025492468134;0.9948;0.9774022401257615
basic_01_BERT;3;train;2.0;0.082104272648989;0.9929;0.9917198723064645;0.9941;0.9929085097882541
basic_01_BERT;3;validate;2.0;0.10286834577647969;0.9766;0.9620007754943777;0.9924;0.9769639692852923
basic_01_BERT;3;train;3.0;0.05748264423000219;0.9951;0.9947042366107114;0.9955;0.9951019592163136
basic_01_BERT;3;validate;3.0;0.09282539297553885;0.9792;0.972397476340694;0.9864;0.9793486894360603
basic_01_BERT;3;test;;4.40874576646586;0.8274;0.7477450208850415;0.98816;0.8513043178607119
basic_01_BERT;4;train;0.0;0.3816587978670374;0.9677;0.9550496205487449;0.9816;0.9681428148732617
basic_01_BERT;4;validate;0.0;0.0665420128222555;0.9742;0.9709972189114024;0.9776;0.9742874227626072
basic_01_BERT;4;train;1.0;0.20037624125536532;0.98355;0.9796647158020038;0.9876;0.9836163537672427
basic_01_BERT;4;validate;1.0;0.06694613760432694;0.9778;0.970090515545061;0.986;0.9779805594128149
basic_01_BERT;4;train;2.0;0.1040401728815632;0.99095;0.9891401813290824;0.9928;0.9909667115835704
basic_01_BERT;4;validate;2.0;0.11339941532994853;0.9736;0.9610591900311527;0.9872;0.973954222573007
basic_01_BERT;4;train;3.0;0.062393531432229796;0.9955;0.9944122929554979;0.9966;0.9955049445609829
basic_01_BERT;4;validate;3.0;0.10406444399215979;0.9776;0.9660421545667447;0.99;0.97787435796128
basic_01_BERT;4;test;;4.032945457523665;0.80952;0.7267878077373974;0.99192;0.8389039242219215
