experiment_name;fold;step;epoch;loss;accuracy;precision;recall;f1
composite_03_NaiveBayes;0;valid;;;0.5222;0.511352014726938;1.0;0.6766815536608473
composite_03_NaiveBayes;0;test;;;0.53132;0.99904;0.5161823668003142;0.6806747881067233
composite_03_NaiveBayes;1;valid;;;0.7772;0.6931438127090301;0.9948;0.8170170827858082
composite_03_NaiveBayes;1;test;;;0.56892;0.99672;0.537141625350291;0.698080963720409
composite_03_NaiveBayes;2;valid;;;0.9894;0.9939442874444893;0.9848;0.9893510146674702
composite_03_NaiveBayes;2;test;;;0.63764;0.99024;0.5807178043631246;0.7321011385479818
composite_03_NaiveBayes;3;valid;;;0.9882;0.9947304418321848;0.9816;0.9881216025770082
composite_03_NaiveBayes;3;test;;;0.63708;0.99064;0.5802989830826186;0.7318774195454948
composite_03_NaiveBayes;4;valid;;;0.9906;0.9959563283461383;0.9852;0.9905489644078023
composite_03_NaiveBayes;4;test;;;0.63748;0.99048;0.5805861664712778;0.7320620842572062
